test_start,test_end,universe_N,trees_SB,Sharpe_SB_ema_5bps,Turnover_SB,Sharpe_RMSE_ema_5bps,Sharpe_RMSE_hac_5bps,Turnover_RMSE,R2_test,IC_test,dSharpe_SB_minus_RMSE,universe
2020-01-01,2020-12-31,16,9,2.702439705437207,0.6392640036385308,5.406715345267212,3.5967125098958155,0.7550099370721771,-0.006507550061860989,0.04554534576556731,-2.7042756398300054,all
2021-01-01,2021-12-31,16,6,1.6525248742174123,0.32986459581746896,5.258626285349069,1.6658722128049632,0.5311547495961837,-0.0030950539192202697,-0.007908089056074073,-3.606101411131657,all
2022-01-01,2022-12-31,16,3,-2.2212746879210306,0.3717522685029786,-0.9996122087736475,-0.3609076835915487,0.49673559413064877,-0.0038443723763217363,-0.015322080293383533,-1.221662479147383,all
2020-01-01,2020-12-31,6,13,1.148198254369638,0.6573362676982092,2.7109686399194497,2.2559803047649893,0.44203440460128207,-3.0051280584642015e-05,0.015113476262708755,-1.5627703855498116,mega_only
2021-01-01,2021-12-31,6,12,0.0938672228917829,0.4732817726330718,-0.9795824239621328,-0.1303342286687731,0.5773591665089354,-0.0024612996348214455,0.004281843817964512,1.0734496468539156,mega_only
2022-01-01,2022-12-31,6,5,-0.7144413859956907,0.22547488643609098,-2.8079135582547745,-0.9021138864017673,0.3962601402517043,-0.00332494119779847,0.030376063156989735,2.0934721722590837,mega_only
